service;condition_key_name;condition_key_service;description;condition_value_type
iam;iam:OrganizationsPolicyId;iam;Filters access by the ID of an AWS Organizations policy;string
iam;iam:PassedToService;iam;Filters access by the AWS service to which this role is passed;string
iam;iam:PermissionsBoundary;iam;Filters access if the specified policy is set as the permissions boundary on the IAM  entity (user or role);string
iam;iam:PolicyARN;iam;Filters access by the ARN of an IAM policy;arn
iam;iam:ResourceTag/${TagKey};iam;Filters access by the tags attached to an IAM entity (user or role).;string
imagebuilder;aws:RequestTag/${TagKey};aws;Filters actions by the presence of tag key-value pairs in the request;string
imagebuilder;aws:ResourceTag/${TagKey};aws;Filters actions by tag key-value pairs attached to the resource;string
imagebuilder;aws:TagKeys;aws;Filters actions by the presence of tag keys in the request;string
iot;aws:RequestTag/${TagKey};aws;A tag key that is present in the request that the user makes to IoT.;string
iot;aws:ResourceTag/${TagKey};aws;The tag key component of a tag attached to an IoT resource.;string
iot;aws:TagKeys;aws;The list of all the tag key names associated with the resource in the request.;string
iot;iot:Delete;iot;The flag indicating whether or not to also delete an IoT Tunnel immediately;bool
iot;iot:ThingGroupArn;iot;The list of all IoT Thing Group ARNs that the destination IoT Thing belongs to for  an IoT Tunnel;string
iot;iot:TunnelDestinationService;iot;The list of all destination services for an IoT Tunnel;string
iot1click;aws:RequestTag/${TagKey};aws;A tag key that is present in the request that the user makes to IoT 1-Click.;string
iot1click;aws:ResourceTag/${TagKey};aws;The preface string for a tag key and value pair attached to an IoT 1-Click resource.;string
iot1click;aws:TagKeys;aws;The list of all the tag key names associated with the IoT 1-Click resource in the  request.;string
iotanalytics;aws:RequestTag/${TagKey};aws;A tag key that is present in the request that the user makes to IoT Analytics.;string
iotanalytics;aws:TagKeys;aws;The list of all the tag key names associated with the IoT Analytics resource in the  request.;string
iotanalytics;iotanalytics:ResourceTag/${TagKey};iotanalytics;The preface string for a tag key and value pair attached to an IoT Analytics resource.;string
iotevents;aws:RequestTag/${TagKey};aws;A tag key that is present in the request that the user makes to IoT Events.;string
iotevents;aws:ResourceTag/${TagKey};aws;The tag key by which a tag value is attached to an IoT Events resource.;string
iotevents;aws:TagKeys;aws;The list of all the tag key names associated with the IoT Events resource in the request.;string
iotsitewise;iotsitewise:assetHierarchyPath;iotsitewise;String of asset IDs in the asset hierarchy separated by forward slash.;string
iotsitewise;iotsitewise:childAssetId;iotsitewise;ID of an asset being associated as a child to another asset.;string
iotsitewise;iotsitewise:group;iotsitewise;Group ID.;string
iotsitewise;iotsitewise:portal;iotsitewise;Portal ID.;string
iotsitewise;iotsitewise:project;iotsitewise;Project ID.;string
iotsitewise;iotsitewise:propertyId;iotsitewise;Property ID.;string
iotsitewise;iotsitewise:user;iotsitewise;User ID.;string
iotthingsgraph;aws:RequestTag/${TagKey};aws;Filters access by a key that is present in the request the user makes to the thingsgraph  service.;string
iotthingsgraph;aws:ResourceTag/${TagKey};aws;Filters access by a tag key and value pair.;string
iotthingsgraph;aws:TagKeys;aws;Filters access by the list of all the tag key names present in the request the user  makes to the thingsgraph service.;string
kafka;aws:RequestTag/${TagKey};aws;Filter requests based on the allowed set of values for each of the tags;string
kafka;aws:ResourceTag/${TagKey};aws;Filter actions based on tag-value associated with a MSK resource.;string
kafka;aws:TagKeys;aws;Filter requests based on the presence of mandatory tag keys in the request;string
kinesisanalytics;aws:RequestTag/${TagKey};aws;Filters actions based on the allowed set of values for each of the tags;string
kinesisanalytics;aws:ResourceTag/${TagKey};aws;Filters actions based on tag-value assoicated with the resource;string
kinesisanalytics;aws:TagKeys;aws;Filters actions based on the presence of mandatory tag keys in the request;string
kinesisanalytics;aws:RequestTag/${TagKey};aws;Filters actions based on the allowed set of values for each of the tags;string
kinesisanalytics;aws:ResourceTag/${TagKey};aws;Filters actions based on tag-value assoicated with the resource;string
kinesisanalytics;aws:TagKeys;aws;Filters actions based on the presence of mandatory tag keys in the request;string
kinesisvideo;aws:RequestTag/${TagKey};aws;Filters requests based on the allowed set of values for each of the tags;string
kinesisvideo;aws:ResourceTag/${TagKey};aws;Filters actions based on tag-value assoicated with the stream.;string
kinesisvideo;aws:TagKeys;aws;Filters requests based on the presence of mandatory tag keys in the request;string
kms;kms:BypassPolicyLockoutSafetyCheck;kms;Controls access to the CreateKey and PutKeyPolicy operations based on the value of  the BypassPolicyLockoutSafetyCheck parameter in the request.;bool
kms;kms:CallerAccount;kms;Controls access to specified AWS KMS operations based on the AWS account ID of the  caller. You can use this condition key to allow or deny access to all IAM users and  roles in an AWS account in a single policy statement.;string
kms;kms:CustomerMasterKeySpec;kms;Controls access to an API operation based on the CustomerMasterKeySpec property of  the CMK that is created by or used in the operation. Use it to qualify authorization  of the CreateKey operation or any operation that is authorized for a CMK resource.;string
kms;kms:CustomerMasterKeyUsage;kms;Controls access to an API operation based on the KeyUsage property of the CMK created  by or used in the operation. Use it to qualify authorization of the CreateKey operation  or any operation that is authorized for a CMK resource.;string
kms;kms:DataKeyPairSpec;kms;Controls access to GenerateDataKeyPair and GenerateDataKeyPairWithoutPlaintext operations  based on the value of the DataKeyPairSpec parameter in the request.;string
kms;kms:EncryptionAlgorithm;kms;Controls access to encryption operations based on the value of the encryption algorithm  in the request.;string
kms;kms:EncryptionContextKeys;kms;Controls access based on the presence of specified keys in the encryption context.  The encryption context is an optional element in a cryptographic operation.;string
kms;kms:ExpirationModel;kms;Controls access to the ImportKeyMaterial operation based on the value of the ExpirationModel  parameter in the request.;string
kms;kms:GrantConstraintType;kms;Controls access to the CreateGrant operation based on the grant constraint in the  request.;string
kms;kms:GrantIsForAWSResource;kms;Controls access to the CreateGrant operation when the request comes from a specified  AWS service.;bool
kms;kms:GrantOperations;kms;Controls access to the CreateGrant operation based on the operations in the grant.;string
kms;kms:GranteePrincipal;kms;Controls access to the CreateGrant operation based on the grantee principal in the  grant.;string
kms;kms:KeyOrigin;kms;Controls access to an API operation based on the Origin property of the CMK created  by or used in the operation. Use it to qualify authorization of the CreateKey operation  or any operation that is authorized for a CMK resource.;string
kms;kms:MessageType;kms;Controls access to the Sign and Verify operations based on the value of the MessageType  parameter in the request.;string
kms;kms:ReEncryptOnSameKey;kms;Controls access to the ReEncrypt operation when it uses the same customer master key  that was used for the Encrypt operation.;bool
kms;kms:RetiringPrincipal;kms;Controls access to the CreateGrant operation based on the retiring principal in the  grant.;string
kms;kms:SigningAlgorithm;kms;Controls access to the Sign and Verify operations based on the signing algorithm in  the request.;string
kms;kms:ValidTo;kms;Controls access to the ImportKeyMaterial operation based on the value of the ValidTo  parameter in the request. You can use this condition key to allow users to import  key material only when it expires by the specified date.;numeric
kms;kms:ViaService;kms;Controls access when a request made on the principal's behalf comes from a specified  AWS service.;string
kms;kms:WrappingAlgorithm;kms;Controls access to the GetParametersForImport operation based on the value of the  WrappingAlgorithm parameter in the request.;string
kms;kms:WrappingKeySpec;kms;Controls access to the GetParametersForImport operation based on the value of the  WrappingKeySpec parameter in the request.;string
lambda;lambda:FunctionArn;lambda;The ARN of a lambda function.;arn
lambda;lambda:Layer;lambda;The ARN of a lambda layer.;string
lambda;lambda:Principal;lambda;The AWS principal.;string
lex;lex:associatedIntents;lex;Enables you to control access based on the intents included in the request.;string
lex;lex:associatedSlotTypes;lex;Enables you to control access based on the slot types included in the request.;string
lex;lex:channelType;lex;Enables you to control access based on the channel type included in the request.;string
license-manager;aws:RequestTag/${TagKey};aws;Filters create requests based on allowed set of values for each of the mandatory tags;string
license-manager;aws:TagKeys;aws;Enforce tag keys that are used in the request;string
license-manager;license-manager:ResourceTag/${TagKey};license-manager;Filters actions based on tag-value associated with the resource.;string
lightsail;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
lightsail;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
lightsail;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
macie;aws:SourceArn;aws;Allow access to the specified actions only when the request operates on the specified  aws resource;arn
mediaconvert;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
mediaconvert;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
mediaconvert;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
medialive;aws:RequestTag/${TagKey};aws;The tag for a MediaLive request.;string
medialive;aws:ResourceTag/${TagKey};aws;The tag for a MediaLive resource.;string
medialive;aws:TagKeys;aws;The tag keys for a MediaLive resource or request.;string
mediapackage;aws:RequestTag/${TagKey};aws;None;string
mediapackage;aws:ResourceTag/${TagKey};aws;None;string
mediapackage;aws:TagKeys;aws;None;string
mediatailor;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
mediatailor;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
mediatailor;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
mobiletargeting;aws:RequestTag/${TagKey};aws;Filters access by a key that is present in the request the user makes to the pinpoint  service.;string
mobiletargeting;aws:ResourceTag/${TagKey};aws;Filters access by a tag key and value pair.;string
mobiletargeting;aws:TagKeys;aws;Filters access by the list of all the tag key names present in the request the user  makes to the pinpoint service.;string
mq;aws:RequestTag/${TagKey};aws;None;string
mq;aws:ResourceTag/${TagKey};aws;None;string
mq;aws:TagKeys;aws;None;string
networkmanager;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
networkmanager;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
networkmanager;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
networkmanager;networkmanager:cgwArn;networkmanager;Controls which customer gateways can be associated or disassociated;string
networkmanager;networkmanager:tgwArn;networkmanager;Controls which transit gateways can be registered or deregistered;string
organizations;organizations:ServicePrincipal;organizations;Enables you to filter the request to only the specified service principal names.;string
qldb;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
qldb;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
qldb;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
quicksight;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
quicksight;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
quicksight;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
quicksight;quicksight:IamArn;quicksight;IAM user ARN or role ARN.;string
quicksight;quicksight:SessionName;quicksight;The session name.;string
quicksight;quicksight:UserName;quicksight;The user name.;string
ram;aws:RequestTag/${TagKey};aws;Specifies a tag key and value pair that must be used when creating or tagging a resource  share. If users don't pass these specific tags, or if they don't specify tags at all,  the request fails.;string
ram;aws:ResourceTag/${TagKey};aws;Indicates that the action can only be performed on resources that have the specified  tag key and value pair.;string
ram;aws:TagKeys;aws;Specifies the tag keys that can be used when creating or tagging a resource share;string
ram;ram:AllowsExternalPrincipals;ram;Indicates that the action can only be performed on resource shares that allow or deny  sharing with external principals. For example, specify true if the action can only  be performed on resource shares that allow sharing with external principals. External  principals are AWS accounts that are outside of its AWS organization;bool
ram;ram:PermissionArn;ram;Indicates that the action can only be performed on a resource using the specified  Permission ARN.;arn
ram;ram:Principal;ram;Principals with the specified format can be associated to or disassociated from a  resource share;string
ram;ram:RequestedAllowsExternalPrincipals;ram;The request must have the specified value for 'allowExternalPrincipals'. External  principals are AWS accounts that are outside of its AWS Organization;bool
ram;ram:RequestedResourceType;ram;Indicates that the action can only be performed on the specified resource type;string
ram;ram:ResourceArn;ram;Indicates that the action can only be performed on a resource with the specified ARN.;arn
ram;ram:ResourceShareName;ram;Indicates that the action can only be performed on a resource share with the specified  name.;string
ram;ram:ShareOwnerAccountId;ram;Indicates that the action can only be performed on resource shares owned by a specific  account. For example, you can use this condition key to specify which resource share  invitations can be accepted or rejected based on the resource share owner’s account  ID.;string
rds;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
rds;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
rds;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
rds;rds:DatabaseClass;rds;A type of DB instance class.;string
rds;rds:DatabaseEngine;rds;A database engine, such as MySQL.;string
rds;rds:DatabaseName;rds;The user-defined name of the database on the DB instance.;string
rds;rds:EndpointType;rds;The type of the endpoint. One of: READER, WRITER, CUSTOM.;string
rds;rds:MultiAz;rds;A value that specifies whether the DB instance runs in multiple Availability Zones.  To indicate that the DB instance is using Multi-AZ, specify true.;boolean
rds;rds:Piops;rds;A value that contains the number of Provisioned IOPS (PIOPS) that the instance supports.  To indicate a DB instance that does not have PIOPS enabled, specify 0.;numeric
rds;rds:StorageEncrypted;rds;A value that specifies whether the DB instance storage should be encrypted. To enforce  storage encryption, specify true.;boolean
rds;rds:StorageSize;rds;The storage volume size (in GB).;numeric
rds;rds:Vpc;rds;A value that specifies whether the DB instance runs in an Amazon Virtual Private Cloud  (Amazon VPC). To indicate that the DB instance runs in an Amazon VPC, specify true.;boolean
rds;rds:cluster-pg-tag/${TagKey};rds;A tag attached to a DB cluster parameter group.;string
rds;rds:cluster-snapshot-tag/${TagKey};rds;A tag attached to a DB cluster snapshot.;string
rds;rds:cluster-tag/${TagKey};rds;A tag attached to a DB cluster.;string
rds;rds:db-tag/${TagKey};rds;A tag attached to a DB instance.;string
rds;rds:es-tag/${TagKey};rds;A tag attached to an event subscription.;string
rds;rds:og-tag/${TagKey};rds;A tag attached to a DB option group.;string
rds;rds:pg-tag/${TagKey};rds;A tag attached to a DB parameter group.;string
rds;rds:req-tag/${TagKey};rds;Limits the set of tag keys and values that can be used to tag a resource.;string
rds;rds:ri-tag/${TagKey};rds;A tag attached to a reserved DB instance.;string
rds;rds:secgrp-tag/${TagKey};rds;A tag attached to a DB security group.;string
rds;rds:snapshot-tag/${TagKey};rds;A tag attached to a DB snapshot.;string
rds;rds:subgrp-tag/${TagKey};rds;A tag attached to a DB subnet group.;string
redshift;redshift:DbName;redshift;Filters access by the database name;string
redshift;redshift:DbUser;redshift;Filters access by the database user name;string
redshift;redshift:DurationSeconds;redshift;Filters access by the number of seconds until a temporary credential set expires;string
resource-groups;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
resource-groups;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
resource-groups;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
robomaker;aws:RequestTag/${TagKey};aws;None;string
robomaker;aws:ResourceTag/${TagKey};aws;None;string
robomaker;aws:TagKeys;aws;None;string
route53resolver;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
route53resolver;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
route53resolver;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
s3;s3:AccessPointNetworkOrigin;s3;The network type from which traffic may be received by the access point involved in  the request;string
s3;s3:DataAccessPointAccount;s3;The AWS Account ID of the account that owns the data operations access point involved  in the request;string
s3;s3:DataAccessPointArn;s3;The ARN of the data operations access point involved in the request;string
s3;s3:ExistingJobOperation;s3;None;string
s3;s3:ExistingJobPriority;s3;None;numeric
s3;s3:ExistingObjectTag/<key>;s3;Enables you to verify that an existing object tag has the specific tag key and value.;string
s3;s3:JobSuspendedCause;s3;None;string
s3;s3:LocationConstraint;s3;Enables you to restrict users to creating buckets in only a specific region.;string
s3;s3:RequestJobOperation;s3;None;string
s3;s3:RequestJobPriority;s3;None;numeric
s3;s3:RequestObjectTag/<key>;s3;Restrict the tag keys and values that you want to allow on objects.;string
s3;s3:RequestObjectTagKeys;s3;restrict the tag keys that you want to allow on objects.;string
s3;s3:VersionId;s3;Enables you to limit the permission for the s3:PutObjectVersionTagging action to a  specific object version.;string
s3;s3:authtype;s3;None;string
s3;s3:delimiter;s3;Enables you to require the user to specify the delimiter parameter in the GET Bucket  Object versions request.;string
s3;s3:locationconstraint;s3;Enables you to restrict the user to creating a bucket in only a specific region.;string
s3;s3:max-keys;s3;Enables you to limit the number of keys Amazon S3 returns in response to ListBucket  requests by requiring the user to specify the max-keys parameter.;numeric
s3;s3:object-lock-legal-hold;s3;Enables enforcement of the specified object legal hold status;string
s3;s3:object-lock-mode;s3;Enables enforcement of the specified object retention mode;string
s3;s3:object-lock-remaining-retention-days;s3;Enables enforcement of an object relative to the remaining retention days;string
s3;s3:object-lock-retain-until-date;s3;Enables enforcement of a specific retain-until-date;string
s3;s3:prefix;s3;Enables you to limit the response of the ListBucket API to key names with specific  prefix.;string
s3;s3:signatureage;s3;None;numeric
s3;s3:signatureversion;s3;None;string
s3;s3:versionid;s3;None;string
s3;s3:x-amz-acl;s3;Enables you to require specific access permissions when uploading an object.;string
s3;s3:x-amz-content-sha256;s3;None;string
s3;s3:x-amz-copy-source;s3;Enables you to restrict the copy source to a specific bucket, a specific folder in  the bucket, or a specific object in a bucket.;string
s3;s3:x-amz-grant-full-control;s3;None;string
s3;s3:x-amz-grant-read;s3;None;string
s3;s3:x-amz-grant-read-acp;s3;None;string
s3;s3:x-amz-grant-write;s3;None;string
s3;s3:x-amz-grant-write-acp;s3;None;string
s3;s3:x-amz-metadata-directive;s3;Enables you to enforce certain behavior (COPY vs. REPLACE) when objects are uploaded.;string
s3;s3:x-amz-server-side-encryption;s3;Enables you to require the user to specify this header in the request to ensure that  objects the user uploads are encrypted when they are saved.;string
s3;s3:x-amz-server-side-encryption-aws-kms-key-id;s3;None;string
s3;s3:x-amz-storage-class;s3;None;string
s3;s3:x-amz-website-redirect-location;s3;None;string
sagemaker;aws:RequestTag/${TagKey};aws;A key that is present in the request the user makes to the SageMaker service.;string
sagemaker;aws:ResourceTag/${TagKey};aws;A tag key and value pair.;string
sagemaker;aws:TagKeys;aws;The list of all the tag key names associated with the resource in the request.;string
sagemaker;sagemaker:AcceleratorTypes;sagemaker;The list of all accelerator types associated with the resource in the request.;arrayofstring
sagemaker;sagemaker:AppNetworkAccess;sagemaker;App network access associated with the resource in the request.;string
sagemaker;sagemaker:DirectInternetAccess;sagemaker;The direct internet access associated with the resource in the request.;string
sagemaker;sagemaker:DomainSharingOutputKmsKey;sagemaker;The Domain sharing output KMS key associated with the resource in the request.;arn
sagemaker;sagemaker:FileSystemAccessMode;sagemaker;File system access mode associated with the resource in the request.;string
sagemaker;sagemaker:FileSystemDirectoryPath;sagemaker;File system directory path associated with the resource in the request.;string
sagemaker;sagemaker:FileSystemId;sagemaker;A file system ID associated with the resource in the request.;string
sagemaker;sagemaker:FileSystemType;sagemaker;File system type associated with the resource in the request.;string
sagemaker;sagemaker:HomeEfsFileSystemKmsKey;sagemaker;The KMS Key Id of the EFS File System used for UserProfile home directories, which  is associated with the resource in the request.;arn
sagemaker;sagemaker:InstanceTypes;sagemaker;The list of all instance types associated with the resource in the request.;arrayofstring
sagemaker;sagemaker:InterContainerTrafficEncryption;sagemaker;The inter container traffic encryption associated with the resource in the request.;bool
sagemaker;sagemaker:MaxRuntimeInSeconds;sagemaker;The max runtime in seconds associated with the resource in the request.;numeric
sagemaker;sagemaker:ModelArn;sagemaker;The model arn associated with the resource in the request.;arn
sagemaker;sagemaker:NetworkIsolation;sagemaker;The network isolation associated with the resource in the request.;bool
sagemaker;sagemaker:OutputKmsKey;sagemaker;The output kms key associated with the resource in the request.;arn
sagemaker;sagemaker:ResourceTag/;sagemaker;The preface string for a tag key and value pair attached to a resource.;string
sagemaker;sagemaker:ResourceTag/${TagKey};sagemaker;A tag key and value pair.;string
sagemaker;sagemaker:RootAccess;sagemaker;The root access associated with the resource in the request.;string
sagemaker;sagemaker:VolumeKmsKey;sagemaker;The volume kms key associated with the resource in the request.;arn
sagemaker;sagemaker:VpcSecurityGroupIds;sagemaker;The list of all vpc security group ids associated with the resource in the request.;arrayofstring
sagemaker;sagemaker:VpcSubnets;sagemaker;The list of all vpc subnets associated with the resource in the request.;arrayofstring
sagemaker;sagemaker:WorkteamArn;sagemaker;The workteam arn associated to the request.;arn
sagemaker;sagemaker:WorkteamType;sagemaker;The workteam type associated to the request. This can be public-crowd, private-crowd  or vendor-crowd.;string
savingsplans;aws:RequestTag/${TagKey};aws;Filters actions based on the allowed set of values for each of the tags;string
savingsplans;aws:ResourceTag/${TagKey};aws;Filters actions based on tag-value assoicated with the resource;string
savingsplans;aws:TagKeys;aws;Filters actions based on the presence of mandatory tags in the request;string
schemas;aws:RequestTag/${TagKey};aws;Filters actions based on the allowed set of values for each of the tags;string
schemas;aws:ResourceTag/${TagKey};aws;Filters actions based on tag-value associated with the resource;string
schemas;aws:TagKeys;aws;Filters actions based on the presence of mandatory tags in the request;string
secretsmanager;aws:RequestTag/tag-key;aws;Filters access by a key that is present in the request the user makes to the Secrets  Manager service.;string
secretsmanager;aws:TagKeys;aws;Filters access by the list of all the tag key namespresent in the request the user  makes to the Secrets Manager service.;string
secretsmanager;secretsmanager:Description;secretsmanager;Filters access by the description text in the request.;string
secretsmanager;secretsmanager:ForceDeleteWithoutRecovery;secretsmanager;Filters access by whether the secret is to be deleted immediately without any recovery  window.;boolean
secretsmanager;secretsmanager:KmsKeyId;secretsmanager;Filters access by the ARN of the KMS key in the request.;string
secretsmanager;secretsmanager:Name;secretsmanager;Filters access by the friendly name of the secret in the request.;string
secretsmanager;secretsmanager:RecoveryWindowInDays;secretsmanager;Filters access by the number of days that Secrets Manager waits before it can delete  the secret.;long
secretsmanager;secretsmanager:ResourceTag/tag-key;secretsmanager;Filters access by a tag key and value pair.;string
secretsmanager;secretsmanager:RotationLambdaARN;secretsmanager;Filters access by the ARN of the rotation Lambda function in the request.;arn
secretsmanager;secretsmanager:SecretId;secretsmanager;Filters access by the SecretID value in the request.;arn
secretsmanager;secretsmanager:VersionId;secretsmanager;Filters access by the unique identifier of the version of the secret in the request.;string
secretsmanager;secretsmanager:VersionStage;secretsmanager;Filters access by the list of version stages in the request.;string
secretsmanager;secretsmanager:resource/AllowRotationLambdaArn;secretsmanager;Filters access by the ARN of the rotation Lambda function associated with the secret.;arn
securityhub;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
securityhub;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
securityhub;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
securityhub;securityhub:TargetAccount;securityhub;The ID of the AWS account into which you want to import findings. In the AWS Security  Finding format, this field is called AwsAccountId;string
servicecatalog;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
servicecatalog;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
servicecatalog;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
servicecatalog;servicecatalog:accountLevel;servicecatalog;Allows users to see and perform actions on resources created by anyone in the account.;string
servicecatalog;servicecatalog:roleLevel;servicecatalog;Allows users to see and perform actions on resources created either by them or by  anyone federating into the same role as them.;string
servicecatalog;servicecatalog:userLevel;servicecatalog;Allows users to see and perform actions on only resources that they created.;string
servicediscovery;servicediscovery:NamespaceArn;servicediscovery;A filter that lets you get objects by specifying the Amazon Resource Name (ARN) for  the related namespace.;string
servicediscovery;servicediscovery:NamespaceName;servicediscovery;A filter that lets you get objects by specifying the name of the related namespace.;string
servicediscovery;servicediscovery:ServiceArn;servicediscovery;A filter that lets you get objects by specifying the Amazon Resource Name (ARN) for  the related service.;string
servicediscovery;servicediscovery:ServiceName;servicediscovery;A filter that lets you get objects by specifying the name of the related service.;string
servicequotas;servicequotas:service;servicequotas;Filters or restricts access to a specified AWS service;string
ses;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
ses;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
ses;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
ses;ses:FeedbackAddress;ses;"The ""Return-Path"" address, which specifies where bounces and complaints are sent by  email feedback forwarding.";string
ses;ses:FromAddress;ses;"The ""From"" address of a message.";string
ses;ses:FromDisplayName;ses;"The ""From"" address that is used as the display name of a message.";string
ses;ses:Recipients;ses;"The recipient addresses of a message, which include the ""To"", ""CC"", and ""BCC"" addresses.";string
ses;ses:FeedbackAddress;ses;"The ""Return-Path"" address, which specifies where bounces and complaints are sent by  email feedback forwarding.";string
ses;ses:FromAddress;ses;"The ""From"" address of a message.";string
ses;ses:FromDisplayName;ses;"The ""From"" address that is used as the display name of a message.";string
ses;ses:Recipients;ses;"The recipient addresses of a message, which include the ""To"", ""CC"", and ""BCC"" addresses.";string
signer;aws:RequestTag/${TagKey};aws;Filters create requests based on the allowed set of values for each of the tags.;string
signer;aws:ResourceTag/${TagKey};aws;Filters actions based on tag-value associated with the resource.;string
signer;aws:TagKeys;aws;Filters create requests based on the presence of mandatory tags in the request.;string
sns;aws:RequestTag/${TagKey};aws;Tags from request;string
sns;aws:TagKeys;aws;Tag keys from request;string
sns;sns:Endpoint;sns;The URL, email address, or ARN from a Subscribe request or a previously confirmed  subscription.;string
sns;sns:Protocol;sns;The protocol value from a Subscribe request or a previously confirmed subscription.;string
ssm;aws:RequestTag/${TagKey};aws;Filters 'Create' requests based on the allowed set of values for a specified tags;string
ssm;aws:ResourceTag/${TagKey};aws;Filters access based on a tag key-value pair assigned to the AWS resource;string
ssm;aws:TagKeys;aws;Filters 'Create' requests based on whether mandatory tags are included in the request;string
ssm;ssm:Overwrite;ssm;Filters access by controlling whether the values for specified resources can be overwritten.;string
ssm;ssm:Recursive;ssm;Filters access for resources created in a hierarchical structure.;string
ssm;ssm:SessionDocumentAccessCheck;ssm;Filters access by verifying that a user also has access to the default Session Manager  configuration document.;boolean
ssm;ssm:SyncType;ssm;Filters access by verifying that a user also has access to the ResourceDataSync SyncType  specified in the request;string
ssm;ssm:resourceTag/tag-key;ssm;Filters access based on a tag key-value pair assigned to the Systems Manager resource;string
states;aws:RequestTag/${TagKey};aws;Tag for request;string
states;aws:ResourceTag/${TagKey};aws;Tag for resource;string
states;aws:TagKeys;aws;Tag for key;string
storagegateway;aws:RequestTag/${TagKey};aws;Filters create requests based on the allowed set of values for each of the tags.;string
storagegateway;aws:ResourceTag/${TagKey};aws;Filters actions based on tag-value associated with the resource.;string
storagegateway;aws:TagKeys;aws;Filters create requests based on the presence of mandatory tags in the request.;string
sts;accounts.google.com:aud;accounts.google.com;Filters actions based on the Google application ID;string
sts;accounts.google.com:oaud;accounts.google.com;Filters actions based on the Google audience;string
sts;accounts.google.com:sub;accounts.google.com;Filters actions based on the subject of the claim (the Google user ID);string
sts;aws:FederatedProvider;aws;Filters actions based on the IdP that was used to authenticate the user;string
sts;aws:PrincipalTag/${TagKey};aws;Filters actions based on the tag associated with the principal that is making the  request;string
sts;aws:RequestTag/${TagKey};aws;Filters actions based on the tags that are passed in the request;string
sts;aws:ResourceTag/${TagKey};aws;Filters actions based on the tags associated with the resource;string
sts;aws:TagKeys;aws;Filters actions based on the tag keys that are passed in the request;string
sts;cognito-identity.amazonaws.com:amr;cognito-identity.amazonaws.com;Filters actions based on the login information for Amazon Cognito;string
sts;cognito-identity.amazonaws.com:aud;cognito-identity.amazonaws.com;Filters actions based on the Amazon Cognito identity pool ID;string
sts;cognito-identity.amazonaws.com:sub;cognito-identity.amazonaws.com;Filters actions based on the subject of the claim (the Amazon Cognito user ID);string
sts;graph.facebook.com:app_id;graph.facebook.com;Filters actions based on the Facebook application ID;string
sts;graph.facebook.com:id;graph.facebook.com;Filters actions based on the Facebook user ID;string
sts;saml:aud;saml;Filters actions based on the endpoint URL to which SAML assertions are presented;string
sts;saml:cn;saml;Filters actions based on the eduOrg attribute;string
